Claim_ID,Evidence_Role,Metric,Predictor,Outcome,Population,Adjustment,Statistical_Test,N,Rho,P,Q,Permutation_N,Source_CSV,Source_Row,Manuscript_Role,Lock_Status,Q_Status,Q_Policy,LOTO_Rho_Min,LOTO_Rho_Max,Direction_Preserved_Count,Direction_Total,Between_SS_Fraction,ICC_Test
C12-001,PRIMARY_INFERENCE,CMC_P95,CMC_P95,Horizontal_RMSE_2D,Final_11_dataset_level_evidence_set,Product-adjusted,Spearman + exact Test-blocked permutation,11,0.8181818181818182,0.0069444444444444,,3456,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,2,Primary Results/Abstract/Discussion value,LOCKED,NOT_DEFINED_IN_COMMENT11_SOURCE,Do not report a q-value for this claim unless a named final multiple-testing source/procedure is explicitly linked.,,,,,,
C12-002,PRIMARY_INFERENCE,CMC_ROBUST,CMC_ROBUST,Horizontal_RMSE_2D,Final_11_dataset_level_evidence_set,Product-adjusted,Spearman + exact Test-blocked permutation,11,0.8363636363636365,0.0049189814814814,,3456,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,3,Primary Results/Abstract/Discussion value,LOCKED,NOT_DEFINED_IN_COMMENT11_SOURCE,Do not report a q-value for this claim unless a named final multiple-testing source/procedure is explicitly linked.,,,,,,
C12-003,PRIMARY_INFERENCE,CN0,CN0,Horizontal_RMSE_2D,Final_11_dataset_level_evidence_set,Product-adjusted,Spearman + exact Test-blocked permutation,11,-0.7448767935921586,0.0170717592592592,,3456,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,4,Primary Results/Abstract/Discussion value,LOCKED,NOT_DEFINED_IN_COMMENT11_SOURCE,Do not report a q-value for this claim unless a named final multiple-testing source/procedure is explicitly linked.,,,,,,
C12-004,ROBUSTNESS_EVIDENCE,CMC_P95,CMC_P95,Horizontal_RMSE_2D,Final_11_dataset_level_evidence_set,Unadjusted,Spearman + exact Test-blocked permutation,11,0.8454545454545455,0.0034722222222222,,3456,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,5,Robustness only; do not substitute for primary value,LOCKED,NOT_DEFINED_IN_COMMENT11_SOURCE,Do not report a q-value for this claim unless a named final multiple-testing source/procedure is explicitly linked.,,,,,,
C12-005,ROBUSTNESS_EVIDENCE,CMC_ROBUST,CMC_ROBUST,Horizontal_RMSE_2D,Final_11_dataset_level_evidence_set,Unadjusted,Spearman + exact Test-blocked permutation,11,0.790909090909091,0.0049189814814814,,3456,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,6,Robustness only; do not substitute for primary value,LOCKED,NOT_DEFINED_IN_COMMENT11_SOURCE,Do not report a q-value for this claim unless a named final multiple-testing source/procedure is explicitly linked.,,,,,,
C12-006,ROBUSTNESS_EVIDENCE,CN0,CN0,Horizontal_RMSE_2D,Final_11_dataset_level_evidence_set,Unadjusted,Spearman + exact Test-blocked permutation,11,-0.790856842579329,0.0049189814814814,,3456,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,7,Robustness only; do not substitute for primary value,LOCKED,NOT_DEFINED_IN_COMMENT11_SOURCE,Do not report a q-value for this claim unless a named final multiple-testing source/procedure is explicitly linked.,,,,,,
C12-007,ROBUSTNESS_EVIDENCE,CMC_P95,CMC_P95,Horizontal_RMSE_2D,Leave_one_Test_out,Product-adjusted,LOTO Spearman sensitivity,,,,,,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_LOTO_SENSITIVITY.csv,multiple,Robustness statement/range only,LOCKED,NOT_DEFINED_IN_COMMENT11_SOURCE,Do not report a q-value for this claim unless a named final multiple-testing source/procedure is explicitly linked.,0.642857142857143,0.9642857142857144,3.0,3.0,,
C12-008,ROBUSTNESS_EVIDENCE,CMC_ROBUST,CMC_ROBUST,Horizontal_RMSE_2D,Leave_one_Test_out,Product-adjusted,LOTO Spearman sensitivity,,,,,,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_LOTO_SENSITIVITY.csv,multiple,Robustness statement/range only,LOCKED,NOT_DEFINED_IN_COMMENT11_SOURCE,Do not report a q-value for this claim unless a named final multiple-testing source/procedure is explicitly linked.,0.7142857142857144,0.9285714285714288,3.0,3.0,,
C12-009,ROBUSTNESS_EVIDENCE,CN0,CN0,Horizontal_RMSE_2D,Leave_one_Test_out,Product-adjusted,LOTO Spearman sensitivity,,,,,,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_LOTO_SENSITIVITY.csv,multiple,Robustness statement/range only,LOCKED,NOT_DEFINED_IN_COMMENT11_SOURCE,Do not report a q-value for this claim unless a named final multiple-testing source/procedure is explicitly linked.,-0.9549937104572924,-0.5585812268712466,3.0,3.0,,
C12-010,ROBUSTNESS_EVIDENCE,CMC_P95,CMC_P95,Horizontal_RMSE_2D,Within_Test_residuals,Product-adjusted + Test fixed-effect residualization,Spearman correlation of within-Test residuals,11,0.9090909090909092,,,,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_FIXED_TEST_EFFECT.csv,2,Robustness only,LOCKED,NOT_DEFINED_IN_COMMENT11_SOURCE,Do not report a q-value for this claim unless a named final multiple-testing source/procedure is explicitly linked.,,,,,,
